i, 0, Q, 1, method, 1, obj, -177.075394128, running time, 1.07873916626, 
i, 0, Q, 1, method, 2, obj, -177.903402474, running time, 0.834200143814, 
i, 0, Q, 1, method, relaxed, obj, -172.798948808, running time, 0.180602073669, 
i, 0, Q, 2, method, 1, obj, -177.067647876, running time, 2.14314389229, 
i, 0, Q, 2, method, 2, obj, -177.861077503, running time, 1.62263393402, 
i, 0, Q, 2, method, relaxed, obj, -172.798948808, running time, 0.172361850739, 
i, 0, Q, 3, method, 1, obj, -177.67340721, running time, 11.4588739872, 
i, 0, Q, 3, method, 2, obj, -176.889065347, running time, 4.57662200928, 
i, 0, Q, 3, method, relaxed, obj, -172.798948808, running time, 0.161694049835, 
i, 0, Q, 4, method, 1, obj, -177.088912595, running time, 8.69679808617, 
i, 0, Q, 4, method, 2, obj, -177.647000416, running time, 4.80651307106, 
i, 0, Q, 4, method, relaxed, obj, -172.798948808, running time, 0.171576976776, 
i, 0, Q, 5, method, 1, obj, -176.925758905, running time, 11.3107419014, 
i, 0, Q, 5, method, 2, obj, -178.480372356, running time, 7.51186203957, 
i, 0, Q, 5, method, relaxed, obj, -172.798948808, running time, 0.172600030899, 
i, 0, Q, 6, method, 1, obj, -177.070561574, running time, 13.0253150463, 
i, 0, Q, 6, method, 2, obj, -177.217867884, running time, 8.69633603096, 
i, 0, Q, 6, method, relaxed, obj, -172.798948808, running time, 0.187150001526, 
i, 0, Q, 7, method, 1, obj, -178.181805144, running time, 44.7079060078, 
i, 0, Q, 7, method, 2, obj, -178.105996732, running time, 10.9691770077, 
i, 0, Q, 7, method, relaxed, obj, -172.798948808, running time, 0.181617975235, 
i, 0, Q, 8, method, 1, obj, -176.839287652, running time, 29.0076830387, 
i, 0, Q, 8, method, 2, obj, -178.042684105, running time, 17.1103591919, 
i, 0, Q, 8, method, relaxed, obj, -172.798948808, running time, 0.168438196182, 
i, 0, Q, 9, method, 1, obj, -176.811815287, running time, 56.4097590446, 
i, 0, Q, 9, method, 2, obj, -177.783237098, running time, 17.0610768795, 
i, 0, Q, 9, method, relaxed, obj, -172.798948808, running time, 0.179725885391, 
i, 0, Q, 10, method, 1, obj, -177.171087423, running time, 28.8842599392, 
i, 0, Q, 10, method, 2, obj, -177.288657453, running time, 15.2824480534, 
i, 0, Q, 10, method, relaxed, obj, -172.798948808, running time, 0.187592983246, 
i, 1, Q, 1, method, 1, obj, -419.264494587, running time, 7.31442284584, 
i, 1, Q, 1, method, 2, obj, -419.708535383, running time, 1.54116916656, 
i, 1, Q, 1, method, relaxed, obj, -378.187557705, running time, 0.162942171097, 
i, 1, Q, 2, method, 1, obj, -405.325373323, running time, 59.1846778393, 
i, 1, Q, 2, method, 2, obj, -413.863513819, running time, 26.1781849861, 
i, 1, Q, 2, method, relaxed, obj, -378.187557705, running time, 0.168797016144, 
i, 1, Q, 3, method, 1, obj, -402.057092693, running time, 600.34782505, 
i, 1, Q, 3, method, 2, obj, -410.742003742, running time, 500.801702023, 
i, 1, Q, 3, method, relaxed, obj, -378.187557705, running time, 0.162513971329, 
i, 1, Q, 4, method, 1, obj, -404.071928696, running time, 600.489788055, 
i, 1, Q, 4, method, 2, obj, -412.094743836, running time, 601.876774788, 
i, 1, Q, 4, method, relaxed, obj, -378.187557705, running time, 0.158368825912, 
i, 1, Q, 5, method, 1, obj, -402.283403729, running time, 600.465893984, 
i, 1, Q, 5, method, 2, obj, -410.950050924, running time, 602.828304052, 
i, 1, Q, 5, method, relaxed, obj, -378.187557705, running time, 0.155922889709, 
i, 1, Q, 6, method, 1, obj, -403.148652941, running time, 600.528347015, 
i, 1, Q, 6, method, 2, obj, -410.080382534, running time, 603.023291826, 
i, 1, Q, 6, method, relaxed, obj, -378.187557705, running time, 0.165472984314, 
i, 1, Q, 7, method, 1, obj, -406.338415549, running time, 600.556125879, 
i, 1, Q, 7, method, 2, obj, -410.223415921, running time, 603.33178401, 
i, 1, Q, 7, method, relaxed, obj, -378.187557705, running time, 0.161960840225, 
i, 1, Q, 8, method, 1, obj, -407.930609748, running time, 600.612695932, 
i, 1, Q, 8, method, 2, obj, -411.704106758, running time, 603.560250998, 
i, 1, Q, 8, method, relaxed, obj, -378.187557705, running time, 0.171693086624, 
i, 1, Q, 9, method, 1, obj, -401.219459496, running time, 600.682305098, 
i, 1, Q, 9, method, 2, obj, -411.206634264, running time, 604.323053122, 
i, 1, Q, 9, method, relaxed, obj, -378.187557705, running time, 0.18731212616, 
i, 1, Q, 10, method, 1, obj, -407.291614979, running time, 600.7175951, 
i, 1, Q, 10, method, 2, obj, -411.020122292, running time, 604.512115002, 
i, 1, Q, 10, method, relaxed, obj, -378.187557705, running time, 0.165474176407, 
i, 2, Q, 1, method, 1, obj, -111.695087873, running time, 0.87296795845, 
