i, 0, Q, 1, method, 1, obj, -176.197946869, running time, 0.701678991318, 
i, 0, Q, 1, method, 2, obj, -231.924890467, running time, 0.675745010376, 
i, 0, Q, 1, method, relaxed, obj, -127.398921521, running time, 0.134971857071, 
i, 0, Q, 2, method, 1, obj, -174.818850815, running time, 2.0825381279, 
i, 0, Q, 2, method, 2, obj, -231.886616645, running time, 1.56610798836, 
i, 0, Q, 2, method, relaxed, obj, -127.398921521, running time, 0.110690116882, 
i, 0, Q, 3, method, 1, obj, -173.354871164, running time, 2.61997914314, 
i, 0, Q, 3, method, 2, obj, -216.605977417, running time, 2.58738613129, 
i, 0, Q, 3, method, relaxed, obj, -127.398921521, running time, 0.131647109985, 
i, 0, Q, 4, method, 1, obj, -171.60568623, running time, 10.5164451599, 
i, 0, Q, 4, method, 2, obj, -210.945045213, running time, 4.96949791908, 
i, 0, Q, 4, method, relaxed, obj, -127.398921521, running time, 0.113679885864, 
i, 0, Q, 5, method, 1, obj, -170.888199934, running time, 4.98243689537, 
i, 0, Q, 5, method, 2, obj, -215.016951347, running time, 4.26115894318, 
i, 0, Q, 5, method, relaxed, obj, -127.398921521, running time, 0.12170791626, 
i, 0, Q, 6, method, 1, obj, -170.786162355, running time, 8.5283241272, 
i, 0, Q, 6, method, 2, obj, -217.943293066, running time, 4.95122790337, 
i, 0, Q, 6, method, relaxed, obj, -127.398921521, running time, 0.113374948502, 
i, 0, Q, 7, method, 1, obj, -170.603019791, running time, 9.7050549984, 
i, 0, Q, 7, method, 2, obj, -211.471529673, running time, 5.4860188961, 
i, 0, Q, 7, method, relaxed, obj, -127.398921521, running time, 0.125525951385, 
i, 0, Q, 8, method, 1, obj, -170.479377249, running time, 8.96864199638, 
i, 0, Q, 8, method, 2, obj, -210.962199501, running time, 7.69455194473, 
i, 0, Q, 8, method, relaxed, obj, -127.398921521, running time, 0.138537883759, 
i, 0, Q, 9, method, 1, obj, -170.267490732, running time, 11.2342951298, 
i, 0, Q, 9, method, 2, obj, -213.276239219, running time, 10.7349591255, 
i, 0, Q, 9, method, relaxed, obj, -127.398921521, running time, 0.115586042404, 
i, 0, Q, 10, method, 1, obj, -170.473535662, running time, 16.5396440029, 
i, 0, Q, 10, method, 2, obj, -213.813528697, running time, 11.9974730015, 
i, 0, Q, 10, method, relaxed, obj, -127.398921521, running time, 0.130712032318, 
i, 1, Q, 1, method, 1, obj, -298.318561017, running time, 0.466093063354, 
i, 1, Q, 1, method, 2, obj, -307.950491773, running time, 0.849210977554, 
i, 1, Q, 1, method, relaxed, obj, -284.169049134, running time, 0.106696128845, 
